# x	y	u	v	mask
  5.1388	  4.1442	  0.0085	 -0.0050	  0.0000
  5.3046	  4.1442	  0.0082	 -0.0017	  0.0000
  5.4704	  4.1442	 -0.0013	 -0.0027	  0.0000
  5.6361	  4.1442	  0.0082	 -0.0040	  0.0000
  5.8019	  4.1442	 -0.0162	  0.0101	  0.0000
  5.9677	  4.1442	 -0.0041	  0.0014	  0.0000
  6.1334	  4.1442	 -0.0280	 -0.0528	  0.0000
  6.2992	  4.1442	 -0.0252	 -0.0039	  0.0000
  6.4650	  4.1442	 -0.0307	 -0.0082	  0.0000
  0.1658	  3.9785	 -0.0124	 -0.0165	  0.0000
  0.3315	  3.9785	 -0.0124	 -0.0118	  0.0000
  0.4973	  3.9785	 -0.0047	 -0.0042	  0.0000
  0.6631	  3.9785	 -0.0227	  0.0151	  0.0000
  0.8288	  3.9785	 -0.0189	  0.0322	  0.0000
  0.9946	  3.9785	  0.0183	  0.0527	  0.0000
  1.1604	  3.9785	  0.0251	  0.0578	  0.0000
  1.3262	  3.9785	  0.2323	  0.2955	  0.0000
  1.4919	  3.9785	 -0.0839	  0.0104	  0.0000
  1.6577	  3.9785	 -0.1028	  0.0024	  0.0000
  1.8235	  3.9785	 -5.2069	  0.5727	  0.0000
  1.9892	  3.9785	 -1.4079	  0.5180	  0.0000
  2.1550	  3.9785	 -0.0219	  0.0022	  0.0000
  2.3208	  3.9785	 -0.1573	 -0.0926	  0.0000
  2.4865	  3.9785	 -0.1461	 -0.1043	  0.0000
  2.6523	  3.9785	  0.0161	 -0.0125	  0.0000
  2.8181	  3.9785	 -0.0013	 -0.0026	  0.0000
  2.9838	  3.9785	 -0.0096	  0.0169	  0.0000
  3.1496	  3.9785	 -0.0049	  0.0067	  0.0000
  3.3154	  3.9785	 -0.0340	 -0.0189	  0.0000
  3.4811	  3.9785	 -0.0178	 -0.0063	  0.0000
  3.6469	  3.9785	  0.0013	 -0.0045	  0.0000
  3.8127	  3.9785	  0.0049	 -0.0068	  0.0000
  3.9785	  3.9785	  0.0005	 -0.0101	  0.0000
  4.1442	  3.9785	  0.0019	 -0.0051	  0.0000
  4.3100	  3.9785	  0.0083	 -0.0070	  0.0000
  4.4758	  3.9785	  0.0067	 -0.0026	  0.0000
  4.6415	  3.9785	 -0.0004	 -0.0099	  0.0000
  4.8073	  3.9785	  0.0027	 -0.0033	  0.0000
  4.9731	  3.9785	  0.0126	  0.0029	  0.0000
  5.1388	  3.9785	  0.0123	  0.0016	  0.0000
  5.3046	  3.9785	  0.0081	  0.0019	  0.0000
  5.4704	  3.9785	 -0.0006	  0.0009	  0.0000
  5.6361	  3.9785	 -0.0038	  0.0032	  0.0000
  5.8019	  3.9785	 -0.0319	 -0.0037	  0.0000
  5.9677	  3.9785	 -0.0211	 -0.0111	  0.0000
  6.1334	  3.9785	 -0.1849	 -0.0000	  0.0000
  6.2992	  3.9785	 -0.0143	 -0.0000	  0.0000
  6.4650	  3.9785	 -0.0266	 -0.0085	  0.0000
  0.1658	  3.8127	 -0.0184	 -0.0179	  0.0000
  0.3315	  3.8127	 -0.0368	 -0.0411	  0.0000
  0.4973	  3.8127	 -0.0204	 -0.0150	  0.0000
  0.6631	  3.8127	  0.0196	 -0.0124	  0.0000
  0.8288	  3.8127	  0.1055	 -0.0692	  0.0000
  0.9946	  3.8127	 -0.5719	  0.0392	  0.0000
  1.1604	  3.8127	 -0.0482	  0.0731	  0.0000
  1.3262	  3.8127	  0.4171	  0.0403	  0.0000
  1.4919	  3.8127	  0.0087	 -0.0553	  0.0000
  1.6577	  3.8127	  3.6141	  0.8712	  0.0000
  1.8235	  3.8127	  3.1288	  0.6593	  0.0000
  1.9892	  3.8127	 -0.0212	  0.1092	  0.0000
  2.1550	  3.8127	 -0.2488	 -0.0355	  0.0000
  2.3208	  3.8127	 -0.2086	 -0.0631	  0.0000
  2.4865	  3.8127	  0.0524	 -1.8088	  0.0000
  2.6523	  3.8127	  3.0831	 -2.2029	  0.0000
  2.8181	  3.8127	  1.5421	 -1.6241	  0.0000
